Output format is unaligned.
Field separator is "|".
id|symbol|base_asset|quote_asset|exchange|price_precision|quantity_precision|is_active|coingecko_id|market_cap_rank|market_cap_usd|in_universe|last_ranked_at|last_scanned_at|created_at|updated_at|candle_count|snapshot_count|signal_count
17|AVAXUSDT|AVAX|USDT|kucoin|3|4|t|avalanche-2|31|2786550008.00000000|t|2026-07-28 10:49:41.877505+00|2026-07-28 11:03:04.77739+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
18|SUIUSDT|SUI|USDT|kucoin|4|1|t|sui|32|2764267551.00000000|t|2026-07-28 10:49:41.878134+00|2026-07-28 11:03:06.755948+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
19|SHIBUSDT|SHIB|USDT|kucoin|9|4|t|shiba-inu|33|2740238219.00000000|t|2026-07-28 10:49:41.878695+00|2026-07-28 11:03:08.657941+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
326|CROUSDT|CRO|USDT|kucoin|5|4|t|crypto-com-chain|36|2614500033.00000000|t|2026-07-28 10:49:41.879237+00|2026-07-28 13:00:36.053487+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|2009|7|2
20|XAUTUSDT|XAUT|USDT|kucoin|2|4|t|tether-gold|37|2459806471.00000000|t|2026-07-28 10:49:41.881994+00|2026-07-28 11:03:10.61027+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|1902|8|3
21|UNIUSDT|UNI|USDT|kucoin|4|4|t|uniswap|38|2380983855.00000000|t|2026-07-28 10:49:41.882543+00|2026-07-28 11:03:12.559084+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
22|NEARUSDT|NEAR|USDT|kucoin|4|4|t|near|39|2177304816.00000000|t|2026-07-28 10:49:41.883102+00|2026-07-28 11:03:14.6471+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
23|ONDOUSDT|ONDO|USDT|kucoin|5|4|t|ondo-finance|41|1884155232.00000000|t|2026-07-28 10:49:41.883599+00|2026-07-28 11:03:16.614488+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
25|TAOUSDT|TAO|USDT|kucoin|2|4|t|bittensor|42|1802951636.00000000|t|2026-07-28 10:49:41.884077+00|2026-07-28 11:03:18.560104+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
24|PAXGUSDT|PAXG|USDT|kucoin|2|4|t|pax-gold|44|1786948910.00000000|t|2026-07-28 10:49:41.88463+00|2026-07-28 11:03:20.473177+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
26|WLFIUSDT|WLFI|USDT|kucoin|4|2|t|world-liberty-financial|45|1741818071.00000000|t|2026-07-28 10:49:41.885195+00|2026-07-28 11:03:22.295557+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|1834|8|3
27|ASTERUSDT|ASTER|USDT|kucoin|4|2|t|aster-2|46|1672777135.00000000|t|2026-07-28 10:49:41.885746+00|2026-07-28 11:03:24.177729+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|1811|8|3
327|HTXUSDT|HTX|USDT|kucoin|9|1|t|htx-dao|47|1592211121.00000000|t|2026-07-28 10:49:41.886217+00|2026-07-28 13:00:38.13758+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|2009|7|2
29|AAVEUSDT|AAVE|USDT|kucoin|3|4|t|aave|51|1497475585.00000000|t|2026-07-28 10:49:41.891011+00|2026-07-28 11:03:25.936454+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
328|MNTUSDT|MNT|USDT|kucoin|4|4|t|mantle|53|1321441010.00000000|t|2026-07-28 10:49:41.891523+00|2026-07-28 13:00:40.007533+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|2008|7|2
31|SKYUSDT|SKY|USDT|kucoin|5|1|t|sky|55|1295216302.00000000|t|2026-07-28 10:49:41.892932+00|2026-07-28 11:03:27.830372+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
33|DOTUSDT|DOT|USDT|kucoin|4|4|t|polkadot|56|1291750755.00000000|t|2026-07-28 10:49:41.893462+00|2026-07-28 11:03:29.791312+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
32|MORPHOUSDT|MORPHO|USDT|kucoin|4|2|t|morpho|57|1289242065.00000000|t|2026-07-28 10:49:41.894033+00|2026-07-28 11:03:31.670245+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
34|WLDUSDT|WLD|USDT|kucoin|4|4|t|worldcoin-wld|58|1209241673.00000000|t|2026-07-28 10:49:41.894585+00|2026-07-28 11:03:33.532911+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
35|PEPEUSDT|PEPE|USDT|kucoin|9|0|t|pepe|59|1186560772.00000000|t|2026-07-28 10:49:41.895104+00|2026-07-28 11:03:35.338469+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
36|ICPUSDT|ICP|USDT|kucoin|3|4|t|internet-computer|60|1164728695.00000000|t|2026-07-28 10:49:41.895609+00|2026-07-28 11:03:37.167362+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
37|UUSDT|U|USDT|kucoin|4|2|t|united-stables|63|1079148068.00000000|t|2026-07-28 10:49:41.896061+00|2026-07-28 11:03:38.728315+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|1504|7|3
38|ETCUSDT|ETC|USDT|kucoin|4|6|t|ethereum-classic|64|1059966463.00000000|t|2026-07-28 10:49:41.896469+00|2026-07-28 11:03:40.463634+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
329|STABLEUSDT|STABLE|USDT|kucoin|6|0|t|stable-2|67|933024188.00000000|t|2026-07-28 10:49:41.896969+00|2026-07-28 13:00:42.024837+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|1741|7|2
330|BEATUSDT|BEAT|USDT|kucoin|4|2|t|audiera|68|927851914.00000000|t|2026-07-28 10:49:41.902354+00|2026-07-28 13:00:43.915869+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|1779|7|2
